"","regiao_governo","mes","saldo","vagas_criadas","vagas_destruidas","estoque","var_perc_estoque_inicial","var_perc_estoque_mensal"
"1","Adamantina",12,-380,692,1072,34690,3.15501501680097,-1.08354719133162
"2","Andradina",12,-822,776,1598,41530,3.60225515142444,-1.94087646392142
"3","Araçatuba",12,-2437,2390,4827,137540,-0.904925213983112,-1.74100030719332
"4","Araraquara",12,-3207,3971,7178,177543,2.1542126249288,-1.77427385892116
"5","Assis",12,-265,1558,1823,56462,1.15556192557823,-0.467149681809368
"6","Avaré",12,-747,674,1421,30923,0.0323488499983826,-2.35869908430692
"7","Barretos",12,-2346,2469,4815,127812,4.57107793004704,-1.80242474530955
"8","Bauru",12,-2025,4788,6813,189835,1.6862448911815,-1.05545710413843
"9","Botucatu",12,-4021,1338,5359,76561,1.65168554244062,-4.98994812737336
"10","Bragança Paulista",12,-719,3738,4457,151088,1.28034964941211,-0.473627698327482
"11","Campinas",12,-9021,23333,32354,1044347,1.09903832936106,-0.856395865452529
"12","Caraguatatuba",12,1778,3793,2015,73194,2.17345784999372,2.48963817631903
"13","Catanduva",12,-952,1114,2066,72759,-0.450142294220666,-1.29153043643418
"14","Cruzeiro",12,-157,310,467,22982,0.718730826540451,-0.678508146419465
"15","Dracena",12,-208,496,704,27076,4.83602431563867,-0.76235156135464
"16","Fernandópolis",12,-686,447,1133,28397,0.795087495119441,-2.35876628958498
"17","Franca",12,-4968,2965,7933,136976,1.05424686640058,-3.49997181987263
"18","Guaratinguetá",12,-778,1623,2401,73841,1.17284373501404,-1.04262989319074
"19","Itapetininga",12,-1296,2498,3794,118929,0.819755514487716,-1.07797878976918
"20","Itapeva",12,-1750,2412,4162,104418,1.10185902401239,-1.64833094717806
"21","Jales",12,-33,570,603,31174,0.212164073550212,-0.105745505816003
"22","Jaú",12,-1183,1521,2704,76589,0.0784016516614617,-1.52111299696549
"23","Jundiaí",12,-2621,6834,9455,303029,1.08109730876486,-0.857516767544577
"24","Limeira",12,-2846,3865,6711,190473,1.53632103885581,-1.47217810975641
"25","Lins",12,-864,631,1495,43017,-0.843648433718277,-1.96896150953716
"26","Marília",12,-585,2028,2613,96225,1.58889358108108,-0.604276417725442
"27","Ourinhos",12,-546,1416,1962,55476,3.84485792370185,-0.974617114704937
"28","Piracicaba",12,-2094,3186,5280,169440,0.470212929966142,-1.22074923921788
"29","Presidente Prudente",12,-812,2208,3020,128333,0.672283410210549,-0.628750629137791
"30","Registro",12,-452,974,1426,47123,0.871221851185889,-0.950078822911193
"31","Ribeirão Preto",12,-3278,10797,14075,405756,1.55477244058226,-0.801400372585164
"32","Rio Claro",12,-1492,1880,3372,89241,1.13555230680311,-1.6443851740822
"33","Santos",12,1176,10011,8835,385826,0.793650793650794,0.305732484076433
"34","São Carlos",12,-2748,2568,5316,116710,0.306824920715409,-2.30039009526361
"35","São João da Boa Vista",12,-937,2340,3277,112020,-0.244890689701233,-0.829519197570757
"36","São Joaquim da Barra",12,-521,910,1431,39983,1.04627359801865,-1.28629271183093
"37","São José do Rio Preto",12,-2598,5160,7758,224874,1.09240977504451,-1.14211859041992
"38","São José dos Campos",12,-2218,5494,7712,267537,-0.024289803514174,-0.822227576875313
"39","São Paulo",12,-40230,156988,197218,7248548,1.36410273191124,-0.551944372568351
"40","Sorocaba",12,-3867,9456,13323,428020,0.866753703380764,-0.895373095277237
"41","Taubaté",12,-915,2885,3800,140019,1.23928997505513,-0.649240069819916
"42","Tupã",12,-188,662,850,37073,-0.247544732947666,-0.504548992243901
"43","Votuporanga",12,-450,1018,1468,46713,-2.02399429506271,-0.95413777749507
